"Source:","C:\Users\pc\Documents\progetto PCB semplice\3° versione Kicad\live\Shield Arduino v2-1\Shield Arduino v2-1.kicad_sch"
"Date:","26/06/2022 13:20:24"
"Tool:","Eeschema (6.0.6)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","84"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","MANUFACTURER","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","STANDARD"
"","","J2","Conn_01x09","Connector_Generic:Conn_01x09","Connector_PinHeader_2.54mm:PinHeader_1x09_P2.54mm_Vertical","~","","","","","","","",""
"","","J3","TERMINAL BLOCK 3 POSIZIONI","SamacSys_Parts:282837-3","LibraryLoaderAuto:TB00950803BE","","Fixed Terminal Blocks 5.08MM PCB MOUNT 3P","10.3","","TE Connectivity","282837-3","571-2828373","https://www.mouser.co.uk/ProductDetail/TE-Connectivity/282837-3?qs=A%252Bip%252BNCYi6PMRxtBYEOSrQ%3D%3D",""
"","","JP1","Jumper_2_Bridged","Jumper:Jumper_2_Bridged","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","",""
"","","K1","SRD-05VDC-SL-C","SRD-05VDC-SL-C:SRD-05VDC-SL-C","RELAY_SRD-05VDC-SL-C","","","","SONGLE RELAY","","","","","IPC-7251"
"","","L1","B82442T1685K050","SamacSys_lib:B82442T1685K050","INDPM5850X530N","https://componentsearchengine.com/Datasheets/1/B82442T1685K050.pdf","SMD / SMT Inductors (Coils), L=6800uH, 5.6mm x 5.0mm [EIA 2220]","5.3","","TDK","B82442T1685K050","871-B82442T1685K050","http://www.mouser.com/Search/ProductDetail.aspx?qs=x3Z3Taiycdsue7u9bW7ngg%3d%3d",""
"","","MIC1","CMEJ-0415-42-LP","LibraryLoader:CMEJ-0415-42-LP","LibraryLoaderAuto:CMEJ041542LP","https://componentsearchengine.com/Datasheets/1/CMEJ-0415-42-LP.pdf","Microphones microphone, 4 mm, electret condenser, omnidirectional, Long Pin, 2 Vdc, 42 dB sensitivity","2","","CUI Inc.","CMEJ-0415-42-LP","490-CMEJ-0415-42-LP","https://www.mouser.co.uk/ProductDetail/CUI-Devices/CMEJ-0415-42-LP?qs=PzGy0jfpSMvQKgQIwTg7Mg%3D%3D",""
"","","Power1","Conn_01x08","Connector_Generic:Conn_01x08","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~","","","","","","","",""
"","","Q1","BC848","Transistor_BJT:BC848","Package_TO_SOT_SMD:SOT-23","http://www.infineon.com/dgdl/Infineon-BC847SERIES_BC848SERIES_BC849SERIES_BC850SERIES-DS-v01_01-en.pdf?fileId=db3a304314dca389011541d4630a1657","","","","","","","",""
"","","Q2","DMN3404L","Transistor_FET:DMN3404L","Package_TO_SOT_SMD:SOT-23","http://www.diodes.com/assets/Datasheets/ds31787.pdf","","","","","","","",""
"","","Q3","BC848","Transistor_BJT:BC848","Package_TO_SOT_SMD:SOT-23","http://www.infineon.com/dgdl/Infineon-BC847SERIES_BC848SERIES_BC849SERIES_BC850SERIES-DS-v01_01-en.pdf?fileId=db3a304314dca389011541d4630a1657","","","","","","","",""
