Ref,Val,Package,PosX,PosY,Rot,Side
"R30","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",62.963400,53.664400,0.000000,top
"R31","2K2","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",62.734800,55.747200,180.000000,top
"R32","0R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",77.317600,55.878400,0.000000,top
"R33","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",44.754800,6.145200,0.000000,top
"R34","220k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",34.583200,22.652400,180.000000,top
"R35","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",69.669000,55.493200,180.000000,top
"SW1","SW_Push","SW_PUSH_6mm_H4.3mm",53.783200,43.752400,0.000000,top
"SW2","SW_Push","SW_PUSH_6mm_H4.3mm",43.486000,44.006000,0.000000,top
"TEMP1","Conn_01x03","PinSocket_1x03_P2.54mm_Vertical",8.280000,23.961000,0.000000,top
"TEMP2","Conn_01x03","PinSocket_1x03_P2.54mm_Vertical",3.962000,23.961000,0.000000,top
"U1","NCP1117-3.3","TO-252-2",71.501000,17.880000,-90.000000,top
"U2","LM324DR2G","SOIC-14_3.9x8.7mm_P1.27mm",51.300000,14.200000,90.000000,top
"U3","DS18B20","TO-92_Inline",12.700000,22.960000,0.000000,top
"VR1","PT10MH01-103A2020-S","PT10MH01103A2020S",45.183200,28.552400,90.000000,top
